season,day,home,away,homeGoals,awayGoals,winner
2022-23,2023-04-29T00:00:00Z,Brentford,Nott'm Forest,2,1,H
2022-23,2023-04-29T00:00:00Z,Brighton,Wolves,6,0,H
2022-23,2023-04-30T00:00:00Z,Bournemouth,Leeds,4,1,H
2022-23,2023-04-30T00:00:00Z,Fulham,Man City,1,2,A
2022-23,2023-04-30T00:00:00Z,Man United,Aston Villa,1,0,H
2022-23,2023-04-30T00:00:00Z,Newcastle,Southampton,3,1,H
2022-23,2023-04-30T00:00:00Z,Liverpool,Tottenham,4,3,H
2022-23,2023-05-01T00:00:00Z,Leicester,Everton,2,2,D
2022-23,2023-05-02T00:00:00Z,Arsenal,Chelsea,3,1,H
2022-23,2023-05-06T00:00:00Z,Bournemouth,Chelsea,1,3,A
2022-23,2023-05-06T00:00:00Z,Man City,Leeds,2,1,H
2022-23,2023-05-06T00:00:00Z,Tottenham,Crystal Palace,1,0,H
2022-23,2023-05-06T00:00:00Z,Wolves,Aston Villa,1,0,H
2022-23,2023-05-06T00:00:00Z,Liverpool,Brentford,1,0,H
2022-23,2023-05-07T00:00:00Z,Newcastle,Arsenal,0,2,A
2022-23,2023-05-07T00:00:00Z,West Ham,Man United,1,0,H
2022-23,2023-05-08T00:00:00Z,Fulham,Leicester,5,3,H
2022-23,2023-05-08T00:00:00Z,Brighton,Everton,1,5,A
2022-23,2023-05-08T00:00:00Z,Nott'm Forest,Southampton,4,3,H
2022-23,2023-05-13T00:00:00Z,Leeds,Newcastle,2,2,D
2022-23,2023-05-13T00:00:00Z,Aston Villa,Tottenham,2,1,H
2022-23,2023-05-13T00:00:00Z,Chelsea,Nott'm Forest,2,2,D
2022-23,2023-05-13T00:00:00Z,Crystal Palace,Bournemouth,2,0,H
2022-23,2023-05-13T00:00:00Z,Man United,Wolves,2,0,H
2022-23,2023-05-13T00:00:00Z,Southampton,Fulham,0,2,A
2022-23,2023-05-14T00:00:00Z,Brentford,West Ham,2,0,H
2022-23,2023-05-14T00:00:00Z,Everton,Man City,0,3,A
2022-23,2023-05-14T00:00:00Z,Arsenal,Brighton,0,3,A
2022-23,2023-05-15T00:00:00Z,Leicester,Liverpool,0,3,A
2022-23,2023-05-20T00:00:00Z,Tottenham,Brentford,1,3,A
2022-23,2023-05-20T00:00:00Z,Bournemouth,Man United,0,1,A
2022-23,2023-05-20T00:00:00Z,Fulham,Crystal Palace,2,2,D
2022-23,2023-05-20T00:00:00Z,Liverpool,Aston Villa,1,1,D
2022-23,2023-05-20T00:00:00Z,Wolves,Everton,1,1,D
2022-23,2023-05-20T00:00:00Z,Nott'm Forest,Arsenal,1,0,H
2022-23,2023-05-21T00:00:00Z,West Ham,Leeds,3,1,H
2022-23,2023-05-21T00:00:00Z,Brighton,Southampton,3,1,H
2022-23,2023-05-21T00:00:00Z,Man City,Chelsea,1,0,H
2022-23,2023-05-22T00:00:00Z,Newcastle,Leicester,0,0,D
2022-23,2023-05-28T00:00:00Z,Arsenal,Wolves,5,0,H
2022-23,2023-05-28T00:00:00Z,Aston Villa,Brighton,2,1,H
